VisitorID,Total_Visits,Total_Purchases,Avg_Time_Spent,Avg_Amount_Spent,Time_Since_Last_Visit,Unique_Shops_Visited,Purchase_to_Visit_Ratio,Last_Visit_Purchase
V1879,5,3,137.2036382784446,826.116978683385,5,7,0.6,0
V1880,6,4,75.71020909927861,512.0481638591398,60,16,0.67,1
V1881,4,3,115.26561354612708,735.0216089976362,73,17,0.75,1
V1882,2,4,48.09334297446088,272.44452882240114,43,8,2.0,1
V1883,2,0,130.61699387836856,657.8810829390559,36,3,0.0,0
V1884,10,2,114.87960583875511,424.45098958411205,3,6,0.2,0
V1885,2,2,72.37119802978292,245.74790010798404,61,18,1.0,0
V1886,4,2,71.91096478751882,408.8997498678958,54,11,0.5,0
V1887,8,2,125.77268385679106,473.38501392453253,36,6,0.25,0
V1888,3,3,117.92420614963379,617.4881768070313,45,13,1.0,1
V1889,12,2,82.91983347214304,481.209833427381,29,9,0.17,0
V1890,2,2,64.20782310767264,123.30743446689996,26,8,1.0,1
V1891,3,1,122.27674050123531,437.04065016210615,8,13,0.33,0
V1892,7,3,75.84458330899153,501.66978658162503,73,14,0.43,1
V1893,3,0,100.06637517400327,631.0373110281618,22,1,0.0,0
V1894,6,4,72.90432293532854,687.7328973831304,69,5,0.67,0
V1895,4,0,83.40992194248128,358.76553993029165,44,6,0.0,0
V1896,4,2,147.12750111029885,354.83062419584667,41,9,0.5,1
V1897,1,1,87.70269266439423,340.9406453524548,36,13,1.0,0
V1898,9,2,133.15511165199177,305.7862657739712,30,1,0.22,0
V1899,5,5,44.33684906456611,175.789908461126,49,6,1.0,1
V1900,1,2,38.00122020712038,596.8011725174254,17,7,2.0,1
V1901,5,1,107.48961259954324,1024.890648895918,30,10,0.2,1
V1902,3,0,66.92263962790965,673.7505172751528,73,4,0.0,0
V1903,3,3,89.29202319122335,695.0001519545094,4,18,1.0,1
V1904,7,1,26.414247163771016,592.404412509309,76,16,0.14,1
V1905,9,0,29.0357939406409,230.52937354723167,35,19,0.0,1
V1906,5,2,90.42780580622183,438.21035557585304,84,11,0.4,0
V1907,5,1,75.46719467492862,639.4869574307777,17,17,0.2,1
V1908,4,0,79.94643963100503,244.74181364509886,86,2,0.0,0
V1909,2,1,140.04767467099242,403.55361764243264,7,7,0.5,1
V1910,6,0,104.28603600516313,238.14618557735776,62,9,0.0,1
V1911,8,3,154.34495765257117,400.5615885220836,58,14,0.38,0
V1912,6,3,92.27341062459399,897.074089665484,44,17,0.5,0
V1913,4,1,134.850678607362,824.5411715211746,58,15,0.25,0
V1914,7,1,119.50235554139033,532.4849109096003,53,7,0.14,1
V1915,7,5,74.83393046839838,812.6533650163257,72,7,0.71,1
V1916,5,4,84.81809681678237,634.1345165357079,9,14,0.8,0
V1917,6,2,79.35829762842926,449.53525728196917,6,9,0.33,1
V1918,5,1,122.23170956066852,253.27066450610323,19,9,0.2,0
V1919,5,2,98.28224721221939,430.0390237596339,86,17,0.4,0
V1920,8,2,62.413511643214775,442.3534083592706,20,2,0.25,0
V1921,7,4,51.3761271575917,421.6246105381646,64,12,0.57,0
V1922,4,3,52.40661612832471,477.3978357762812,84,16,0.75,1
V1923,3,1,63.13051228957599,291.94701266613697,27,2,0.33,0
V1924,6,2,61.546974740458296,241.22801838201264,7,15,0.33,0
V1925,4,2,53.79103968849912,228.77870906926842,24,6,0.5,0
V1926,8,0,123.64845129877827,589.0769127717122,8,11,0.0,0
V1927,4,4,44.086359676517034,308.6601704364639,67,17,1.0,0
V1928,4,3,102.15957973633515,542.2154686157955,11,4,0.75,0
V1929,12,3,158.40646800752535,509.43569274994235,66,19,0.25,0
V1930,3,5,92.6117377020849,569.0664964428262,1,5,1.67,0
V1931,4,1,92.70897546651153,431.2766853555405,7,12,0.25,0
V1932,4,2,96.83672487560834,281.17814186604585,24,19,0.5,0
V1933,4,2,45.69829437566258,846.3788832824787,12,1,0.5,1
V1934,3,2,102.99961942926711,359.7456416419918,63,11,0.67,0
V1935,3,2,100.05732426684268,886.8364323252904,72,6,0.67,0
V1936,6,2,88.7786972866003,232.26206042955835,13,4,0.33,0
V1937,6,2,39.322059189699154,297.221218896875,70,17,0.33,1
V1938,5,0,146.80130723992414,140.9864661025651,88,12,0.0,0
V1939,6,1,97.12078939785371,516.6205416708419,24,10,0.17,0
V1940,4,1,53.32185395168995,630.2339393492382,38,14,0.25,1
V1941,6,2,59.85799695018387,205.05717133080725,71,7,0.33,0
V1942,5,0,66.67940452722337,505.9382012919734,10,11,0.0,0
V1943,4,0,137.630048460207,417.68401710492685,30,3,0.0,0
V1944,3,1,86.28492141158003,84.23893369188534,88,8,0.33,1
V1945,3,1,86.29561498038362,479.3605560678097,27,5,0.33,1
V1946,5,3,74.10419942942626,684.0784998942735,30,4,0.6,1
V1947,2,1,120.76453728619818,793.076793846002,79,13,0.5,0
V1948,3,0,122.33736282047504,166.3755776235061,2,4,0.0,0
V1949,3,2,44.60321943177108,704.4464622183573,8,6,0.67,0
V1950,3,2,86.9839191266269,660.2021130265873,17,2,0.67,1
V1951,8,2,83.53749286052283,425.8488699130887,48,5,0.25,0
V1952,3,1,61.382855272652904,155.81117556740736,64,15,0.33,0
V1953,4,0,72.54434871401494,566.4374568048206,61,8,0.0,0
V1954,9,1,81.24721845735125,160.36590759239806,13,2,0.11,1
V1955,5,3,59.76394188970766,562.9391102717527,82,5,0.6,0
V1956,5,1,98.77491233470172,382.30781294873583,21,9,0.2,1
V1957,4,1,98.1215863663002,329.96404103610575,76,8,0.25,1
V1958,4,2,105.53134899364561,556.6430074322748,2,14,0.5,0
V1959,1,1,75.96302459705072,960.9700624486128,84,16,1.0,0
V1960,2,0,25.515067984702966,791.7337361634268,23,2,0.0,0
V1961,7,0,68.5837011758104,498.3076547100656,85,3,0.0,0
V1962,4,0,58.44404128799063,558.7647986090034,16,4,0.0,0
V1963,5,3,84.91484325782334,478.25515009853353,13,15,0.6,1
V1964,6,1,107.17790798619474,441.90624740962795,4,5,0.17,0
V1965,6,4,146.6985589506894,821.9174907384486,2,15,0.67,0
V1966,6,2,62.82279504602633,556.8258552117787,65,18,0.33,0
V1967,5,2,93.83305201162464,605.1225650510153,26,13,0.4,0
V1968,7,2,95.2407955284219,581.5810179736651,30,11,0.29,0
V1969,7,1,133.2068908269698,488.04654927067867,38,10,0.14,0
V1970,5,2,96.59842645061741,291.2389310969173,20,4,0.4,0
V1971,3,1,79.07882069852317,327.2339567407395,25,5,0.33,0
V1972,10,2,88.72452853134686,563.0103243951629,52,1,0.2,0
V1973,3,1,100.43671090422689,619.917032062109,83,13,0.33,0
V1974,8,2,112.1665691680462,259.9595647720782,10,14,0.25,0
V1975,4,2,141.04905956808065,361.7292211597646,41,16,0.5,0
V1976,3,2,137.98862357038215,391.0087608528217,81,13,0.67,0
V1977,7,1,67.11395352166713,311.8481404934947,61,15,0.14,0
V1978,5,0,44.87481476991681,88.64597311688425,2,9,0.0,0
V1979,7,2,52.53193118123525,237.11890086969657,81,3,0.29,0
V1980,10,1,97.20220277895099,491.5431204000582,7,2,0.1,0
V1981,2,4,123.80539724421111,612.941648605937,60,12,2.0,0
V1982,6,4,82.68444536356576,362.5415858813899,61,18,0.67,1
V1983,3,2,61.234357317014414,590.7009590232748,80,4,0.67,1
V1984,6,2,46.02258170393475,518.8233168394228,27,15,0.33,0
V1985,5,2,137.56999845564806,639.2303875999905,1,1,0.4,1
V1986,3,4,75.4472703818737,829.7211626048276,86,8,1.33,0
V1987,6,5,43.71243429662484,324.1618549450768,86,17,0.83,0
V1988,4,2,89.21660428395495,403.79169011936784,27,5,0.5,0
V1989,6,2,90.10378364326746,253.99175985595446,80,7,0.33,0
V1990,3,1,116.5445666619305,802.2067125321184,60,3,0.33,1
V1991,3,2,54.199554890791774,412.7294603274355,53,6,0.67,0
V1992,5,0,124.89149177644212,547.4555624805729,36,13,0.0,0
V1993,7,1,129.5031004633149,629.4696810034866,80,16,0.14,1
V1994,4,1,92.7707380134535,786.1418543753618,24,17,0.25,1
V1995,9,3,108.18747378771796,202.5473060764479,35,6,0.33,1
V1996,3,0,114.36663313050856,687.9190035784163,33,5,0.0,0
V1997,8,3,71.99382684629967,110.08911950717948,17,18,0.38,1
V1998,4,1,48.357236148828925,271.73644203367536,69,4,0.25,1
V1999,5,2,72.33039579594583,455.7760981454552,35,12,0.4,0
V2000,8,2,37.27801834263303,496.10787108426905,83,16,0.25,0
V2001,5,1,104.18203472710054,804.4420275835116,47,11,0.2,1
V2002,5,4,137.97681350102624,509.4994874672214,89,11,0.8,1
V2003,4,2,64.20804794108722,492.48784312498236,59,6,0.5,0
V2004,5,2,76.14385187040816,537.967825554699,61,16,0.4,1
V2005,6,4,82.43744331046253,727.9759409971139,22,6,0.67,0
V2006,5,0,151.89572948101306,356.44637099648025,27,9,0.0,1
V2007,6,4,76.3640454581463,171.73207918580636,72,18,0.67,1
V2008,7,3,123.57266618388213,518.9932379636796,15,1,0.43,1
V2009,4,2,91.08415430430065,516.9812082493218,36,18,0.5,1
V2010,6,2,10.0,463.98220817736683,57,19,0.33,0
V2011,3,2,74.96013546687206,828.177835821013,76,9,0.67,0
V2012,4,0,116.37945046817383,669.2477059474554,41,14,0.0,0
V2013,7,2,75.12912437958204,119.48544625942571,45,12,0.29,0
V2014,6,1,105.36685964296143,399.587037717497,43,10,0.17,0
V2015,2,2,141.9871031872139,599.4724559545525,12,9,1.0,1
V2016,7,1,105.53423904341808,584.0417970807264,68,12,0.14,0
V2017,8,2,70.94129096639497,720.9659787305529,67,5,0.25,0
V2018,3,0,111.32704068257864,802.1181192540128,4,19,0.0,1
V2019,7,2,104.62986821624271,580.4571614332391,65,10,0.29,0
V2020,6,3,119.12059067970688,622.1168652406591,5,2,0.5,1
V2021,9,2,87.21359054653796,224.39065458821432,2,6,0.22,0
V2022,5,4,65.73426944381472,363.62466370154505,46,5,0.8,0
V2023,6,1,106.13469610858402,389.5157947790485,75,1,0.17,0
V2024,4,4,107.07598962539936,216.11015443336862,9,18,1.0,1
V2025,4,2,74.07425514685364,651.7826640024016,8,15,0.5,0
V2026,6,1,43.71663566427662,524.7822880312882,58,2,0.17,1
V2027,4,1,76.29746435859889,866.7687438110877,63,15,0.25,1
V2028,5,2,54.69935929850879,630.8940625462964,61,11,0.4,1
V2029,2,1,81.92876723583527,565.1610359128381,15,13,0.5,1
V2030,4,2,113.32762285678115,812.2585998441393,73,15,0.5,1
V2031,5,1,29.862968637349518,355.7881968485617,42,10,0.2,0
V2032,6,2,99.30900809039457,136.39613612797825,50,17,0.33,0
V2033,5,1,102.35405391592556,687.9292151660025,51,5,0.2,0
V2034,8,2,62.27360697973815,583.0789826498041,25,1,0.25,0
V2035,2,3,100.44471430919668,473.2183229666967,22,19,1.5,1
V2036,3,3,125.0964766241228,404.02088449973746,22,12,1.0,1
V2037,6,1,102.96987548451044,354.71236889869033,74,7,0.17,0
V2038,6,1,151.71577819739662,498.3533297030946,69,2,0.17,0
V2039,6,4,92.4964992779817,541.9862933371222,69,15,0.67,0
V2040,3,5,120.09310809604277,639.8960411791179,66,13,1.67,0
V2041,7,0,150.9809718526428,213.11781495467437,64,7,0.0,1
V2042,7,0,105.2407865338639,721.8900173847868,22,14,0.0,0
V2043,3,2,142.59331543570852,460.38660531713947,13,16,0.67,0
V2044,4,0,103.69689876613727,512.7023112895153,89,9,0.0,0
V2045,2,1,133.69912141795484,351.6086383612559,27,19,0.5,1
V2046,7,2,56.46895985900025,592.7999481801788,47,5,0.29,1
V2047,7,4,91.84236101637492,867.6226176534319,21,10,0.57,0
V2048,7,4,164.11509417001747,657.853814211663,31,8,0.57,0
V2049,5,1,35.39599755162554,411.52019526538845,79,14,0.2,0
V2050,6,0,66.89923438321196,149.31513208350992,38,11,0.0,1
V2051,5,1,155.24351084579496,377.5727316333762,39,1,0.2,0
V2052,3,0,86.78066249102571,390.45394593113673,36,10,0.0,1
V2053,3,2,86.74641759685662,583.0026406525965,65,2,0.67,1
V2054,8,3,117.47708108757388,368.5754127393209,11,7,0.38,0
V2055,6,2,127.61041674816663,343.18639593899525,69,17,0.33,0
V2056,10,4,78.91851850724682,428.66392157682054,34,5,0.4,1
V2057,7,0,40.77603595391229,490.31543191174643,5,10,0.0,1
V2058,10,4,62.19307236418982,435.2356613711487,20,5,0.4,0
V2059,5,1,73.17147838194533,418.59377549505183,63,5,0.2,1
V2060,6,1,54.747092284487955,228.23590390193107,45,9,0.17,1
V2061,5,2,64.17632946900139,589.137622602312,42,11,0.4,0
V2062,4,3,90.27356272581977,293.07605729083826,13,15,0.75,0
V2063,5,3,64.53908655404912,682.513526148152,9,5,0.6,0
V2064,6,0,142.97158183240305,722.090534184684,5,17,0.0,0
V2065,3,2,77.87675480519525,253.2549356974103,38,19,0.67,1
V2066,5,3,44.1399695372687,846.4413271211454,49,14,0.6,0
V2067,3,1,125.22639077015717,720.0528079089719,28,2,0.33,1
V2068,2,1,186.678740958791,533.2801257888401,43,14,0.5,0
V2069,6,2,80.09771726408991,302.44703602319805,70,4,0.33,1
V2070,5,0,97.6972537623196,50.0,41,3,0.0,0
V2071,5,1,129.10845393263023,500.8209960633635,44,15,0.2,0
V2072,7,1,78.6854726201876,525.612310609421,29,16,0.14,0
V2073,7,2,146.23910567016935,677.5536713911674,68,10,0.29,0
V2074,8,3,41.85952307087991,107.48838933106151,82,18,0.38,0
V2075,3,5,86.44832271509175,697.6252910975235,79,19,1.67,1
V2076,9,4,65.54471389019801,725.5342381175575,25,2,0.44,1
V2077,5,1,56.0622138861279,585.3761438603422,68,10,0.2,0
V2078,6,0,66.32318056028222,229.75990076517792,14,2,0.0,0
V2079,2,3,105.39151573529267,453.92142705155294,59,16,1.5,0
V2080,8,0,117.62968826701663,269.4118931782655,62,5,0.0,0
V2081,4,3,111.2620807639399,237.5130536264067,17,4,0.75,1
V2082,3,0,45.82909156410789,266.5684679436804,19,17,0.0,1
V2083,7,2,106.53157514221986,543.8717956449442,29,13,0.29,1
V2084,8,3,86.41834429951946,333.9568219812386,86,12,0.38,1
V2085,10,2,72.5511050564783,453.03255329654735,78,17,0.2,0
V2086,4,3,83.44643785798189,633.3048889145109,66,9,0.75,1
V2087,4,2,139.96898408153504,498.96626972596437,45,1,0.5,0
V2088,3,0,81.73449996974034,420.52985873231137,71,1,0.0,1
V2089,6,1,112.92427819126685,471.573800737739,28,2,0.17,1
V2090,10,2,120.97361730758405,820.5130185329829,59,14,0.2,1
V2091,7,1,116.41107964040663,758.7341204193024,54,5,0.14,0
V2092,3,0,76.28149767867669,50.0,8,1,0.0,1
V2093,8,0,77.91055918150116,402.9468510089887,10,1,0.0,0
V2094,4,0,98.22821791078243,502.91374055788185,21,15,0.0,1
V2095,6,3,73.37603971789012,911.884421206027,35,1,0.5,1
V2096,7,3,64.45396492838499,462.9407366136239,4,16,0.43,0
V2097,1,4,92.97631037234517,419.450065967119,53,10,4.0,1
V2098,4,2,65.83370815326643,452.2311146540807,85,5,0.5,0
V2099,9,3,77.04933181881039,476.7611693710603,25,2,0.33,0
V2100,5,0,81.77362496783093,542.8811885302011,20,14,0.0,0
V2101,2,2,73.3485163534298,573.1276788170902,71,11,1.0,0
V2102,8,3,82.32025860483233,461.1536551103744,71,19,0.38,0
V2103,4,0,77.07188802805547,868.8051855188811,22,19,0.0,0
V2104,9,3,151.29671278902123,506.56586343883436,49,19,0.33,0
V2105,4,5,143.05892288939185,731.5467780879443,89,3,1.25,1
V2106,4,4,77.23401383670387,515.0872122344562,6,11,1.0,1
V2107,5,2,76.28328973157407,416.42476233363044,51,16,0.4,1
V2108,5,3,83.27491220133484,593.4903666888852,27,17,0.6,1
V2109,3,0,97.16741247170347,50.0,18,4,0.0,1
V2110,8,1,86.93649596801721,468.5175647631566,12,15,0.12,0
V2111,5,1,90.47513030472659,50.0,28,11,0.2,0
V2112,4,1,113.71850052368002,254.86483252358684,19,16,0.25,0
V2113,5,3,63.968968967007285,340.39962419783797,43,4,0.6,1
V2114,4,1,72.17301053569929,495.1939634530265,81,5,0.25,1
V2115,6,3,46.77161061720153,566.9736664757394,15,19,0.5,0
V2116,3,1,77.97146281990717,165.93515404521133,69,16,0.33,0
V2117,5,1,91.10488844125454,400.350407061774,36,19,0.2,0
V2118,8,1,91.34304165185632,430.13077913763595,85,16,0.12,1
V2119,7,0,127.59077030191105,910.6641225204195,42,1,0.0,0
V2120,4,1,63.773444788141745,485.7365507520775,45,3,0.25,0
V2121,7,2,41.0395606435013,245.38300176312586,30,2,0.29,0
V2122,5,3,92.7079364473873,670.9565800723457,39,10,0.6,1
V2123,4,3,84.48209773351161,445.78022468082236,46,6,0.75,0
V2124,3,5,115.63680103972658,649.0066249104736,58,8,1.67,1
V2125,6,1,92.44634626244031,701.0867997164746,30,6,0.17,1
V2126,2,3,128.39947536419976,329.33102159005284,56,19,1.5,0
V2127,5,0,85.81242343563763,418.14748280902455,85,16,0.0,0
V2128,5,0,74.52013267911707,423.9877042760212,88,4,0.0,1
V2129,4,5,111.27956057516525,676.2774313523041,54,16,1.25,0
V2130,8,4,104.4668584476064,824.4837301409884,86,9,0.5,0
V2131,2,1,68.58826678624429,832.0970347930783,37,9,0.5,0
V2132,6,1,106.33289652932892,457.7045491233272,22,8,0.17,0
V2133,4,2,103.23343998899983,807.1249586879596,24,5,0.5,1
V2134,6,1,88.4472474458152,574.6174607067214,69,17,0.17,0
V2135,2,2,123.58570765887478,427.69252860760884,88,16,1.0,1
V2136,5,4,133.75587783200803,342.7340977234933,86,18,0.8,0
V2137,3,0,72.60303826015732,595.0639647685462,33,6,0.0,1
V2138,7,2,104.65229241062558,819.6353202557766,17,10,0.29,0
V2139,3,2,92.18504871610017,745.3019489458222,62,16,0.67,0
V2140,4,2,76.5371622988381,340.9350609919769,12,19,0.5,0
V2141,4,2,86.343228724833,569.1876737460952,30,8,0.5,1
V2142,6,8,37.01641605513815,329.13127150738427,13,18,1.33,1
V2143,6,1,122.29143094770873,541.9834287323321,6,5,0.17,1
V2144,8,4,113.6431782289269,593.2059191003225,67,13,0.5,1
V2145,5,1,32.347372693145246,562.6596880736249,11,15,0.2,0
V2146,2,5,84.42504376082329,698.4828924482014,60,6,2.5,0
V2147,9,1,100.09009137321947,356.3162444521762,10,2,0.11,1
V2148,4,3,115.6469759796839,767.4860791974709,75,15,0.75,0
V2149,7,1,82.10717292804419,425.895465191811,16,11,0.14,0
V2150,3,1,82.59193299156965,272.66046384920753,84,5,0.33,1
V2151,8,2,101.03123310728328,700.809210859995,42,10,0.25,1
V2152,2,1,69.57636827011783,591.6159250077031,44,18,0.5,0
V2153,2,3,139.90605163615135,694.2182506197074,19,12,1.5,1
V2154,5,1,93.09979479058933,530.320202085872,73,17,0.2,0
V2155,2,3,95.81933058397924,63.350652604025754,15,17,1.5,1
V2156,9,1,130.43250389356834,332.28643144209036,87,4,0.11,0
V2157,7,1,89.2807087156267,523.445023886688,85,19,0.14,1
V2158,5,3,130.73197273176743,488.296119510133,39,18,0.6,1
V2159,3,1,41.86587288024313,860.4383216321094,5,10,0.33,1
V2160,4,1,124.61885272386448,340.28800381076826,86,14,0.25,1
V2161,6,5,121.00098225907364,673.6136096001691,31,13,0.83,0
V2162,5,1,28.401825972557276,617.0012725707244,79,14,0.2,0
V2163,2,1,80.2971072834828,50.0,28,4,0.5,0
V2164,5,2,102.18426793249063,496.25355724886805,38,4,0.4,0
V2165,6,5,114.31998702120354,522.345138494684,52,4,0.83,1
V2166,5,3,129.32073642377634,762.7460801127422,15,11,0.6,0
V2167,6,5,45.10401658021773,155.97589078760643,19,1,0.83,0
V2168,6,2,92.39754310104577,654.63137544008,35,6,0.33,0
V2169,2,4,61.80324048765998,579.1534580107659,82,5,2.0,0
V2170,4,1,68.72568079301398,762.9939726617314,74,5,0.25,1
V2171,6,2,114.03263430441044,373.7709319723158,15,12,0.33,1
V2172,2,3,66.1159267690266,654.3018235118342,88,15,1.5,1
V2173,4,1,90.085873871049,277.7419289419372,47,6,0.25,0
V2174,3,5,76.68746742896256,912.4630122933564,56,12,1.67,1
V2175,3,0,120.08821012019772,415.1637830611438,20,14,0.0,0
V2176,3,4,34.9719358963182,202.62577713772396,75,11,1.33,1
V2177,4,2,127.24310621639478,326.2083314710444,9,8,0.5,0
V2178,6,2,134.65985753274225,693.716977686904,5,7,0.33,0
V2179,3,2,107.84952852477545,493.1310364417314,11,6,0.67,0
V2180,7,4,96.80923538707722,701.91336616367,2,13,0.57,1
V2181,3,2,28.77590920099182,816.1904168639114,52,6,0.67,1
V2182,3,1,109.28167618886567,694.4613125873792,20,2,0.33,0
V2183,11,6,120.26687769065515,686.6132733512834,21,11,0.55,0
V2184,2,0,93.04284608295316,300.72727009245637,51,8,0.0,1
V2185,8,1,70.39875260501601,346.9597137643753,30,4,0.12,0
V2186,10,4,133.8938775381797,263.37654617660684,48,7,0.4,1
V2187,4,4,64.00042730757912,506.135828590032,1,15,1.0,0
V2188,5,4,123.89761738740661,885.1895920637974,35,19,0.8,0
V2189,5,5,105.8386300959342,449.5991661034997,26,10,1.0,0
V2190,4,5,84.79599335662472,851.2368747275883,9,3,1.25,0
V2191,8,3,163.17138060855763,179.77510105752617,40,10,0.38,1
V2192,11,1,104.47787234019981,409.493222009177,21,19,0.09,0
V2193,7,1,107.50036615836781,315.38115810959914,80,3,0.14,0
V2194,5,3,105.32946088842762,588.0176562657033,12,18,0.6,0
V2195,7,0,99.07821414834717,572.4315304976673,37,5,0.0,0
V2196,4,3,87.10118906560979,168.17488137819254,71,1,0.75,1
V2197,5,3,112.71590212475577,333.67618141451,24,6,0.6,1
V2198,3,3,92.96630564223963,731.2676338582888,50,7,1.0,0
V2199,8,3,35.33828148812231,692.8248463938902,54,2,0.38,0
V2200,2,1,65.25595009086464,332.356358538722,84,17,0.5,0
V2201,7,1,124.54380011138844,351.3395416787418,28,3,0.14,1
V2202,2,1,116.52320318174729,476.02620202855627,4,2,0.5,1
V2203,2,4,58.85743176003555,324.47610215895656,12,18,2.0,0
V2204,4,2,73.70563483651316,581.1466762814885,67,14,0.5,0
V2205,6,2,71.56840000067726,459.557310173906,37,16,0.33,0
V2206,6,1,133.6840587465958,694.5065782760582,4,12,0.17,0
V2207,4,2,43.772414924447006,450.3734422828922,15,18,0.5,0
V2208,8,1,71.59254933299653,677.7871590582296,28,8,0.12,1
V2209,8,2,92.38168282772384,396.3452998566278,37,1,0.25,0
V2210,9,1,46.682167908559705,400.71092070352864,9,3,0.11,1
V2211,5,1,92.46513027405038,490.34259108925806,14,7,0.2,0
V2212,4,3,58.677383029649285,189.7029010921239,67,2,0.75,0
V2213,5,2,64.86402092395915,485.18359647444873,82,16,0.4,0
V2214,6,4,74.41435612438906,719.3756676786973,50,9,0.67,0
V2215,3,1,84.56842418301596,270.8662490393831,78,3,0.33,1
V2216,6,1,73.0735956133362,699.0873410859808,25,19,0.17,1
V2217,9,1,92.86317331328303,515.1153234293316,39,14,0.11,0
V2218,3,0,127.36801789118601,535.6381312464312,26,15,0.0,0
V2219,6,1,115.99925502854742,581.3616592151293,60,16,0.17,1
V2220,3,1,135.40643526334264,441.17121381600117,52,19,0.33,1
V2221,5,4,87.75016465419577,570.136277650628,70,15,0.8,1
V2222,2,2,87.8657023355268,453.45518257691555,26,14,1.0,0
V2223,5,0,96.2367437353207,382.76065331686374,48,5,0.0,0
V2224,2,0,44.00462295800361,735.6257413269813,54,7,0.0,1
V2225,4,3,121.02753100833137,251.25628076678174,41,3,0.75,1
V2226,3,2,78.75554427907963,401.2067386082698,1,2,0.67,0
V2227,6,0,88.67146871772769,665.5456808455182,21,16,0.0,0
V2228,7,1,102.81678524826563,316.619448385199,78,2,0.14,0
V2229,6,0,66.82555082623395,465.07946885173425,72,3,0.0,1
V2230,4,1,67.77842920148288,225.36180390832033,25,12,0.25,0
V2231,8,0,101.70747482322014,416.0875304013833,18,1,0.0,1
V2232,4,2,103.09475351452487,212.3615564474785,15,15,0.5,1
V2233,6,4,158.63455599157902,355.29657812274843,42,1,0.67,0
V2234,6,4,97.3069777990861,533.1164258988236,20,1,0.67,0
V2235,4,2,106.03925288249661,488.61679412854204,16,15,0.5,1
V2236,6,2,159.75869288533897,718.7631491110424,7,3,0.33,0
V2237,5,3,100.37760813643366,643.8711260423029,81,14,0.6,1
V2238,4,5,102.99583811186565,426.8847949823873,5,10,1.25,0
V2239,6,1,10.0,690.4532639148122,18,3,0.17,1
V2240,6,2,78.40244929606321,471.9926710479251,78,18,0.33,1
V2241,7,1,96.11557973195389,363.881694589046,18,4,0.14,0
V2242,6,3,67.1544848548544,252.70269310408761,64,17,0.5,0
V2243,6,1,96.39876737900109,792.2711374056363,25,4,0.17,0
V2244,8,0,111.56032217787502,755.039312517666,75,15,0.0,0
V2245,6,0,117.70815748283987,459.501750354909,26,11,0.0,0
V2246,7,1,86.72873210310729,483.30903996477747,69,3,0.14,0
V2247,3,3,43.27484044966675,453.16616852308704,16,7,1.0,1
V2248,2,1,92.59015977212238,118.93817531479488,63,10,0.5,0
V2249,5,0,77.39448534803257,478.0126112104361,72,19,0.0,1
V2250,9,3,66.97736974914719,71.79269658761444,77,8,0.33,0
V2251,3,2,81.53245189697023,263.8712031938845,58,15,0.67,0
V2252,2,1,79.59569373190178,497.36461299789914,27,13,0.5,0
V2253,5,3,83.45703214519978,662.4386285227581,49,3,0.6,1
V2254,1,0,76.28340845189229,165.30697118211128,73,15,0.0,1
V2255,4,2,133.13945901545182,467.7210128993256,47,10,0.5,0
V2256,6,0,97.98565241924213,485.53691070619965,71,15,0.0,0
V2257,4,1,98.10917893254513,467.27752111426895,50,14,0.25,0
V2258,5,4,102.46911216766652,565.7867263108823,46,9,0.8,0
V2259,5,2,48.76993402395817,654.1197688330008,8,15,0.4,0
V2260,1,0,120.43347642635038,508.8297206941379,2,14,0.0,0
V2261,9,4,187.5479002619346,807.7802827714397,18,15,0.44,0
V2262,3,1,61.127481088420325,456.33023855409175,36,14,0.33,1
V2263,2,3,69.76023721805136,296.61470661921146,88,10,1.5,0
V2264,6,1,73.53230811981767,862.336134779394,42,12,0.17,0
V2265,5,6,98.96889933469878,988.9271630328315,11,14,1.2,0
V2266,3,2,85.92664997542354,619.796181944346,59,15,0.67,1
V2267,4,3,74.55180368870022,50.0,52,12,0.75,0
V2268,5,1,107.577301438716,552.9277464192764,74,2,0.2,0
V2269,8,1,101.63410482039218,361.2273670199935,49,19,0.12,0
V2270,3,2,126.68029393253912,797.398971865714,56,17,0.67,0
V2271,6,1,94.32988249822239,497.6656975401051,70,15,0.17,0
V2272,9,1,88.77588799347613,364.08494538696385,74,10,0.11,1
V2273,7,1,76.9798357189473,567.8777084746221,30,11,0.14,0
V2274,3,6,97.05581302817987,757.906473649759,55,14,2.0,1
V2275,4,2,58.72800435276994,337.0221723845301,28,9,0.5,0
V2276,4,1,122.62905989569995,654.9745197421221,51,3,0.25,0
V2277,11,2,108.7751025838925,122.15106720770535,89,1,0.18,0
V2278,4,0,96.70881643562157,482.73723034409517,27,6,0.0,0
V2279,5,2,77.91788273388045,224.27534229770833,52,6,0.4,0
V2280,7,2,139.15423161536336,330.1865197223917,34,5,0.29,1
V2281,13,1,73.55618688963487,738.327935613712,32,4,0.08,0
V2282,8,1,64.49339871085526,429.82436309775034,44,3,0.12,0
V2283,6,3,80.72535275059296,354.2814213718194,4,13,0.5,0
V2284,5,1,114.80753033981802,734.3503706815776,48,4,0.2,0
V2285,4,3,132.99045973426587,615.7001498544869,16,7,0.75,0
V2286,3,3,121.81166243278984,125.16751256704407,60,19,1.0,0
V2287,9,1,50.71515331094757,486.0079928659624,47,11,0.11,1
V2288,7,3,88.24311604208363,512.4975543696122,75,10,0.43,1
V2289,9,2,75.56372307496827,656.1782707357875,15,19,0.22,0
